weather,occupancy_count,layout_index,seat_list,active_zones,strategy,ceiling_power_W,task_power_W,total_power_W
Clear,1,1,0,1,Zonal PIR ceiling-only,79.19999999999999,0.0,79.19999999999999
Clear,1,1,0,1,Rule-based hybrid,0.0,6.0,6.0
Clear,1,1,0,1,Optimized hybrid,0.0,6.0,6.0
Clear,1,2,3,1,Zonal PIR ceiling-only,79.19999999999999,0.0,79.19999999999999
Clear,1,2,3,1,Rule-based hybrid,0.0,6.0,6.0
Clear,1,2,3,1,Optimized hybrid,0.0,7.5,7.5
Clear,1,3,8,1,Zonal PIR ceiling-only,13.2,0.0,13.2
Clear,1,3,8,1,Rule-based hybrid,0.0,1.5,1.5
Clear,1,3,8,1,Optimized hybrid,0.0,1.5,1.5
Clear,1,4,20,1,Zonal PIR ceiling-only,0.0,0.0,0.0
Clear,1,4,20,1,Rule-based hybrid,0.0,0.0,0.0
Clear,1,4,20,1,Optimized hybrid,0.0,0.0,0.0
Clear,1,5,23,1,Zonal PIR ceiling-only,0.0,0.0,0.0
Clear,1,5,23,1,Rule-based hybrid,0.0,0.0,0.0
Clear,1,5,23,1,Optimized hybrid,0.0,0.0,0.0
Clear,2,1,2;17,2,Zonal PIR ceiling-only,79.19999999999999,0.0,79.19999999999999
Clear,2,1,2;17,2,Rule-based hybrid,0.0,9.0,9.0
Clear,2,1,2;17,2,Optimized hybrid,0.0,10.5,10.5
Clear,2,2,3;23,2,Zonal PIR ceiling-only,79.19999999999999,0.0,79.19999999999999
Clear,2,2,3;23,2,Rule-based hybrid,0.0,6.0,6.0
Clear,2,2,3;23,2,Optimized hybrid,0.0,7.5,7.5
Clear,2,3,4;7,1,Zonal PIR ceiling-only,26.4,0.0,26.4
Clear,2,3,4;7,1,Rule-based hybrid,0.0,3.0,3.0
Clear,2,3,4;7,1,Optimized hybrid,0.0,3.0,3.0
Clear,2,4,13;18,2,Zonal PIR ceiling-only,0.0,0.0,0.0
Clear,2,4,13;18,2,Rule-based hybrid,0.0,3.0,3.0
Clear,2,4,13;18,2,Optimized hybrid,0.0,3.0,3.0
Clear,2,5,21;23,1,Zonal PIR ceiling-only,0.0,0.0,0.0
Clear,2,5,21;23,1,Rule-based hybrid,0.0,0.0,0.0
Clear,2,5,21;23,1,Optimized hybrid,0.0,0.0,0.0
Clear,3,1,0;1;2,1,Zonal PIR ceiling-only,79.19999999999999,0.0,79.19999999999999
Clear,3,1,0;1;2,1,Rule-based hybrid,0.0,18.0,18.0
Clear,3,1,0;1;2,1,Optimized hybrid,0.0,19.5,19.5
Clear,3,2,0;17;19,2,Zonal PIR ceiling-only,79.19999999999999,0.0,79.19999999999999
Clear,3,2,0;17;19,2,Rule-based hybrid,0.0,12.0,12.0
Clear,3,2,0;17;19,2,Optimized hybrid,0.0,13.5,13.5
Clear,3,3,6;7;16,2,Zonal PIR ceiling-only,26.4,0.0,26.4
Clear,3,3,6;7;16,2,Rule-based hybrid,0.0,6.0,6.0
Clear,3,3,6;7;16,2,Optimized hybrid,0.0,7.5,7.5
Clear,3,4,6;20;22,2,Zonal PIR ceiling-only,26.4,0.0,26.4
Clear,3,4,6;20;22,2,Rule-based hybrid,0.0,1.5,1.5
Clear,3,4,6;20;22,2,Optimized hybrid,0.0,1.5,1.5
Clear,3,5,13;17;22,2,Zonal PIR ceiling-only,0.0,0.0,0.0
Clear,3,5,13;17;22,2,Rule-based hybrid,0.0,3.0,3.0
Clear,3,5,13;17;22,2,Optimized hybrid,0.0,3.0,3.0
Clear,4,1,0;5;13;22,3,Zonal PIR ceiling-only,79.19999999999999,0.0,79.19999999999999
Clear,4,1,0;5;13;22,3,Rule-based hybrid,0.0,7.5,7.5
Clear,4,1,0;5;13;22,3,Optimized hybrid,0.0,7.5,7.5
Clear,4,2,2;3;10;12,2,Zonal PIR ceiling-only,92.39999999999999,0.0,92.39999999999999
Clear,4,2,2;3;10;12,2,Rule-based hybrid,0.0,13.5,13.5
Clear,4,2,2;3;10;12,2,Optimized hybrid,0.0,16.5,16.5
Clear,4,3,3;8;11;19,3,Zonal PIR ceiling-only,105.6,0.0,105.6
Clear,4,3,3;8;11;19,3,Rule-based hybrid,0.0,12.0,12.0
Clear,4,3,3;8;11;19,3,Optimized hybrid,0.0,13.5,13.5
Clear,4,4,4;6;8;10,2,Zonal PIR ceiling-only,39.599999999999994,0.0,39.599999999999994
Clear,4,4,4;6;8;10,2,Rule-based hybrid,0.0,6.0,6.0
Clear,4,4,4;6;8;10,2,Optimized hybrid,0.0,4.5,4.5
Clear,4,5,7;8;14;18,3,Zonal PIR ceiling-only,39.599999999999994,0.0,39.599999999999994
Clear,4,5,7;8;14;18,3,Rule-based hybrid,0.0,6.0,6.0
Clear,4,5,7;8;14;18,3,Optimized hybrid,0.0,6.0,6.0
Clear,5,1,1;2;7;9;21,3,Zonal PIR ceiling-only,92.39999999999999,0.0,92.39999999999999
Clear,5,1,1;2;7;9;21,3,Rule-based hybrid,0.0,15.0,15.0
Clear,5,1,1;2;7;9;21,3,Optimized hybrid,0.0,19.5,19.5
Clear,5,2,1;3;14;17;23,3,Zonal PIR ceiling-only,79.19999999999999,0.0,79.19999999999999
Clear,5,2,1;3;14;17;23,3,Rule-based hybrid,0.0,15.0,15.0
Clear,5,2,1;3;14;17;23,3,Optimized hybrid,0.0,16.5,16.5
Clear,5,3,2;3;7;8;12,2,Zonal PIR ceiling-only,92.39999999999999,0.0,92.39999999999999
Clear,5,3,2;3;7;8;12,2,Rule-based hybrid,0.0,15.0,15.0
Clear,5,3,2;3;7;8;12,2,Optimized hybrid,0.0,19.5,19.5
Clear,5,4,2;9;12;17;20,3,Zonal PIR ceiling-only,92.39999999999999,0.0,92.39999999999999
Clear,5,4,2;9;12;17;20,3,Rule-based hybrid,0.0,10.5,10.5
Clear,5,4,2;9;12;17;20,3,Optimized hybrid,0.0,10.5,10.5
Clear,5,5,6;11;18;19;22,3,Zonal PIR ceiling-only,52.8,0.0,52.8
Clear,5,5,6;11;18;19;22,3,Rule-based hybrid,0.0,9.0,9.0
Clear,5,5,6;11;18;19;22,3,Optimized hybrid,0.0,7.5,7.5
Clear,6,1,1;2;7;8;10;12,2,Zonal PIR ceiling-only,92.39999999999999,0.0,92.39999999999999
Clear,6,1,1;2;7;8;10;12,2,Rule-based hybrid,0.0,16.5,16.5
Clear,6,1,1;2;7;8;10;12,2,Optimized hybrid,0.0,21.0,21.0
Clear,6,2,1;7;10;17;20;22,3,Zonal PIR ceiling-only,92.39999999999999,0.0,92.39999999999999
Clear,6,2,1;7;10;17;20;22,3,Rule-based hybrid,0.0,12.0,12.0
Clear,6,2,1;7;10;17;20;22,3,Optimized hybrid,0.0,13.5,13.5
Clear,6,3,2;5;6;8;20;21,3,Zonal PIR ceiling-only,92.39999999999999,0.0,92.39999999999999
Clear,6,3,2;5;6;8;20;21,3,Rule-based hybrid,0.0,10.5,10.5
Clear,6,3,2;5;6;8;20;21,3,Optimized hybrid,0.0,13.5,13.5
Clear,6,4,5;7;8;12;14;17,3,Zonal PIR ceiling-only,39.599999999999994,0.0,39.599999999999994
Clear,6,4,5;7;8;12;14;17,3,Rule-based hybrid,0.0,7.5,7.5
Clear,6,4,5;7;8;12;14;17,3,Optimized hybrid,0.0,7.5,7.5
Clear,6,5,5;11;14;19;20;21,3,Zonal PIR ceiling-only,39.599999999999994,0.0,39.599999999999994
Clear,6,5,5;11;14;19;20;21,3,Rule-based hybrid,0.0,6.0,6.0
Clear,6,5,5;11;14;19;20;21,3,Optimized hybrid,0.0,4.5,4.5
Clear,7,1,1;2;3;4;15;16;23,3,Zonal PIR ceiling-only,79.19999999999999,0.0,79.19999999999999
Clear,7,1,1;2;3;4;15;16;23,3,Rule-based hybrid,0.0,22.5,22.5
Clear,7,1,1;2;3;4;15;16;23,3,Optimized hybrid,0.0,24.0,24.0
Clear,7,2,2;5;12;13;19;20;21,3,Zonal PIR ceiling-only,79.19999999999999,0.0,79.19999999999999
Clear,7,2,2;5;12;13;19;20;21,3,Rule-based hybrid,0.0,10.5,10.5
Clear,7,2,2;5;12;13;19;20;21,3,Optimized hybrid,0.0,10.5,10.5
Clear,7,3,4;7;8;17;19;22;23,3,Zonal PIR ceiling-only,39.599999999999994,0.0,39.599999999999994
Clear,7,3,4;7;8;17;19;22;23,3,Rule-based hybrid,0.0,10.5,10.5
Clear,7,3,4;7;8;17;19;22;23,3,Optimized hybrid,0.0,10.5,10.5
Clear,7,4,6;10;12;14;15;18;23,3,Zonal PIR ceiling-only,39.599999999999994,0.0,39.599999999999994
Clear,7,4,6;10;12;14;15;18;23,3,Rule-based hybrid,0.0,6.0,6.0
Clear,7,4,6;10;12;14;15;18;23,3,Optimized hybrid,0.0,6.0,6.0
Clear,7,5,7;11;12;13;18;22;23,3,Zonal PIR ceiling-only,52.8,0.0,52.8
Clear,7,5,7;11;12;13;18;22;23,3,Rule-based hybrid,0.0,6.0,6.0
Clear,7,5,7;11;12;13;18;22;23,3,Optimized hybrid,0.0,9.0,9.0
Clear,8,1,0;3;5;8;14;16;19;23,3,Zonal PIR ceiling-only,92.39999999999999,0.0,92.39999999999999
Clear,8,1,0;3;5;8;14;16;19;23,3,Rule-based hybrid,0.0,21.0,21.0
Clear,8,1,0;3;5;8;14;16;19;23,3,Optimized hybrid,0.0,24.0,24.0
Clear,8,2,0;3;8;12;14;16;17;19,3,Zonal PIR ceiling-only,92.39999999999999,0.0,92.39999999999999
Clear,8,2,0;3;8;12;14;16;17;19,3,Rule-based hybrid,0.0,22.5,22.5
Clear,8,2,0;3;8;12;14;16;17;19,3,Optimized hybrid,0.0,24.0,24.0
Clear,8,3,0;5;10;15;16;17;19;20,3,Zonal PIR ceiling-only,92.39999999999999,0.0,92.39999999999999
Clear,8,3,0;5;10;15;16;17;19;20,3,Rule-based hybrid,0.0,18.0,18.0
Clear,8,3,0;5;10;15;16;17;19;20,3,Optimized hybrid,0.0,15.0,15.0
Clear,8,4,3;8;9;10;13;17;20;21,3,Zonal PIR ceiling-only,92.39999999999999,0.0,92.39999999999999
Clear,8,4,3;8;9;10;13;17;20;21,3,Rule-based hybrid,0.0,13.5,13.5
Clear,8,4,3;8;9;10;13;17;20;21,3,Optimized hybrid,0.0,13.5,13.5
Clear,8,5,4;6;9;11;16;19;20;23,3,Zonal PIR ceiling-only,52.8,0.0,52.8
Clear,8,5,4;6;9;11;16;19;20;23,3,Rule-based hybrid,0.0,12.0,12.0
Clear,8,5,4;6;9;11;16;19;20;23,3,Optimized hybrid,0.0,12.0,12.0
Clear,9,1,0;1;2;7;10;18;20;21;22,3,Zonal PIR ceiling-only,92.39999999999999,0.0,92.39999999999999
Clear,9,1,0;1;2;7;10;18;20;21;22,3,Rule-based hybrid,0.0,24.0,24.0
Clear,9,1,0;1;2;7;10;18;20;21;22,3,Optimized hybrid,0.0,24.0,24.0
Clear,9,2,0;2;3;7;10;16;17;21;22,3,Zonal PIR ceiling-only,92.39999999999999,0.0,92.39999999999999
Clear,9,2,0;2;3;7;10;16;17;21;22,3,Rule-based hybrid,0.0,27.0,27.0
Clear,9,2,0;2;3;7;10;16;17;21;22,3,Optimized hybrid,0.0,28.5,28.5
Clear,9,3,1;2;3;7;9;11;15;17;20,3,Zonal PIR ceiling-only,105.6,0.0,105.6
Clear,9,3,1;2;3;7;9;11;15;17;20,3,Rule-based hybrid,0.0,25.5,25.5
Clear,9,3,1;2;3;7;9;11;15;17;20,3,Optimized hybrid,0.0,31.5,31.5
Clear,9,4,2;4;5;8;13;15;17;21;22,3,Zonal PIR ceiling-only,92.39999999999999,0.0,92.39999999999999
Clear,9,4,2;4;5;8;13;15;17;21;22,3,Rule-based hybrid,0.0,13.5,13.5
Clear,9,4,2;4;5;8;13;15;17;21;22,3,Optimized hybrid,0.0,15.0,15.0
Clear,9,5,6;9;11;12;14;16;17;22;23,3,Zonal PIR ceiling-only,52.8,0.0,52.8
Clear,9,5,6;9;11;12;14;16;17;22;23,3,Rule-based hybrid,0.0,10.5,10.5
Clear,9,5,6;9;11;12;14;16;17;22;23,3,Optimized hybrid,0.0,13.5,13.5
Clear,10,1,0;1;2;3;7;14;16;17;21;23,3,Zonal PIR ceiling-only,79.19999999999999,0.0,79.19999999999999
Clear,10,1,0;1;2;3;7;14;16;17;21;23,3,Rule-based hybrid,0.0,31.5,31.5
Clear,10,1,0;1;2;3;7;14;16;17;21;23,3,Optimized hybrid,0.0,34.5,34.5
Clear,10,2,1;3;10;12;15;19;20;21;22;23,3,Zonal PIR ceiling-only,92.39999999999999,0.0,92.39999999999999
Clear,10,2,1;3;10;12;15;19;20;21;22;23,3,Rule-based hybrid,0.0,16.5,16.5
Clear,10,2,1;3;10;12;15;19;20;21;22;23,3,Optimized hybrid,0.0,19.5,19.5
Clear,10,3,3;4;5;6;8;13;14;17;20;23,3,Zonal PIR ceiling-only,92.39999999999999,0.0,92.39999999999999
Clear,10,3,3;4;5;6;8;13;14;17;20;23,3,Rule-based hybrid,0.0,15.0,15.0
Clear,10,3,3;4;5;6;8;13;14;17;20;23,3,Optimized hybrid,0.0,16.5,16.5
Clear,10,4,3;6;7;11;13;15;16;18;20;22,3,Zonal PIR ceiling-only,105.6,0.0,105.6
Clear,10,4,3;6;7;11;13;15;16;18;20;22,3,Rule-based hybrid,0.0,16.5,16.5
Clear,10,4,3;6;7;11;13;15;16;18;20;22,3,Optimized hybrid,0.0,19.5,19.5
Clear,10,5,4;6;7;8;12;15;16;17;20;22,3,Zonal PIR ceiling-only,39.599999999999994,0.0,39.599999999999994
Clear,10,5,4;6;7;8;12;15;16;17;20;22,3,Rule-based hybrid,0.0,12.0,12.0
Clear,10,5,4;6;7;8;12;15;16;17;20;22,3,Optimized hybrid,0.0,13.5,13.5
Clear,11,1,0;1;4;5;6;12;13;15;19;20;22,3,Zonal PIR ceiling-only,79.19999999999999,0.0,79.19999999999999
Clear,11,1,0;1;4;5;6;12;13;15;19;20;22,3,Rule-based hybrid,0.0,19.5,19.5
Clear,11,1,0;1;4;5;6;12;13;15;19;20;22,3,Optimized hybrid,0.0,19.5,19.5
Clear,11,2,0;1;5;8;10;15;16;17;19;21;23,3,Zonal PIR ceiling-only,92.39999999999999,0.0,92.39999999999999
Clear,11,2,0;1;5;8;10;15;16;17;19;21;23,3,Rule-based hybrid,0.0,25.5,25.5
Clear,11,2,0;1;5;8;10;15;16;17;19;21;23,3,Optimized hybrid,0.0,25.5,25.5
Clear,11,3,0;4;6;9;13;14;15;16;17;20;22,3,Zonal PIR ceiling-only,92.39999999999999,0.0,92.39999999999999
Clear,11,3,0;4;6;9;13;14;15;16;17;20;22,3,Rule-based hybrid,0.0,16.5,16.5
Clear,11,3,0;4;6;9;13;14;15;16;17;20;22,3,Optimized hybrid,0.0,18.0,18.0
Clear,11,4,1;2;3;8;10;13;16;17;18;19;22,3,Zonal PIR ceiling-only,92.39999999999999,0.0,92.39999999999999
Clear,11,4,1;2;3;8;10;13;16;17;18;19;22,3,Rule-based hybrid,0.0,33.0,33.0
Clear,11,4,1;2;3;8;10;13;16;17;18;19;22,3,Optimized hybrid,0.0,31.5,31.5
Clear,11,5,2;3;5;7;9;12;14;18;19;21;23,3,Zonal PIR ceiling-only,92.39999999999999,0.0,92.39999999999999
Clear,11,5,2;3;5;7;9;12;14;18;19;21;23,3,Rule-based hybrid,0.0,22.5,22.5
Clear,11,5,2;3;5;7;9;12;14;18;19;21;23,3,Optimized hybrid,0.0,22.5,22.5
Clear,12,1,0;1;2;3;5;6;8;14;17;18;19;20,3,Zonal PIR ceiling-only,92.39999999999999,0.0,92.39999999999999
Clear,12,1,0;1;2;3;5;6;8;14;17;18;19;20,3,Rule-based hybrid,0.0,37.5,37.5
Clear,12,1,0;1;2;3;5;6;8;14;17;18;19;20,3,Optimized hybrid,0.0,39.0,39.0
Clear,12,2,0;5;7;8;9;10;11;13;14;16;17;21,3,Zonal PIR ceiling-only,105.6,0.0,105.6
Clear,12,2,0;5;7;8;9;10;11;13;14;16;17;21,3,Rule-based hybrid,0.0,21.0,21.0
Clear,12,2,0;5;7;8;9;10;11;13;14;16;17;21,3,Optimized hybrid,0.0,21.0,21.0
Clear,12,3,1;4;7;8;9;10;12;14;16;19;22;23,3,Zonal PIR ceiling-only,92.39999999999999,0.0,92.39999999999999
Clear,12,3,1;4;7;8;9;10;12;14;16;19;22;23,3,Rule-based hybrid,0.0,19.5,19.5
Clear,12,3,1;4;7;8;9;10;12;14;16;19;22;23,3,Optimized hybrid,0.0,19.5,19.5
Clear,12,4,1;6;8;10;15;16;17;19;20;21;22;23,3,Zonal PIR ceiling-only,92.39999999999999,0.0,92.39999999999999
Clear,12,4,1;6;8;10;15;16;17;19;20;21;22;23,3,Rule-based hybrid,0.0,19.5,19.5
Clear,12,4,1;6;8;10;15;16;17;19;20;21;22;23,3,Optimized hybrid,0.0,18.0,18.0
Clear,12,5,3;4;8;9;16;17;18;19;20;21;22;23,3,Zonal PIR ceiling-only,92.39999999999999,0.0,92.39999999999999
Clear,12,5,3;4;8;9;16;17;18;19;20;21;22;23,3,Rule-based hybrid,0.0,22.5,22.5
Clear,12,5,3;4;8;9;16;17;18;19;20;21;22;23,3,Optimized hybrid,0.0,22.5,22.5
Clear,13,1,0;1;2;4;5;11;13;16;17;18;21;22;23,3,Zonal PIR ceiling-only,105.6,0.0,105.6
Clear,13,1,0;1;2;4;5;11;13;16;17;18;21;22;23,3,Rule-based hybrid,0.0,31.5,31.5
