weather,density_band,baseline,n_cases,baseline_mean_W,optimized_mean_W,mean_absolute_saving_W,relative_saving_pct_from_means
Clear,Low (1–5),Zonal PIR ceiling-only,25,53.328,8.22,45.108000000000004,84.5859585958596
Clear,Medium (6–10),Zonal PIR ceiling-only,25,76.56,16.98,59.58,77.82131661442006
Clear,High (11–15),Zonal PIR ceiling-only,25,96.624,27.12,69.50399999999999,71.9324391455539
Night,Low (1–5),Zonal PIR ceiling-only,25,320.496,173.44799999999998,147.048,45.881383855024716
Night,Medium (6–10),Zonal PIR ceiling-only,25,496.32,248.34,247.97999999999996,49.963733075435194
Night,High (11–15),Zonal PIR ceiling-only,25,513.7439999999999,286.51199999999994,227.23199999999994,44.23058955433056
Overcast,Low (1–5),Zonal PIR ceiling-only,25,162.09599999999998,63.816,98.28,60.630737340835076
Overcast,Medium (6–10),Zonal PIR ceiling-only,25,276.144,97.02,179.12399999999997,64.86615678776289
Overcast,High (11–15),Zonal PIR ceiling-only,25,295.152,118.2,176.95200000000006,59.95283785981462
Clear,Low (1–5),Rule-based hybrid,25,7.38,8.22,-0.84,-11.38211382113821
Clear,Medium (6–10),Rule-based hybrid,25,15.48,16.98,-1.5,-9.689922480620154
Clear,High (11–15),Rule-based hybrid,25,26.16,27.12,-0.96,-3.669724770642201
Night,Low (1–5),Rule-based hybrid,25,220.476,173.44799999999998,47.027999999999984,21.33021281227888
Night,Medium (6–10),Rule-based hybrid,25,348.5759999999999,248.34,100.23599999999999,28.755852382263843
Night,High (11–15),Rule-based hybrid,25,375.3,286.51199999999994,88.78800000000003,23.657873701039176
Overcast,Low (1–5),Rule-based hybrid,25,74.268,63.816,10.451999999999998,14.073355954112133
Overcast,Medium (6–10),Rule-based hybrid,25,128.90400000000002,97.02,31.883999999999997,24.734686278160485
Overcast,High (11–15),Rule-based hybrid,25,156.91199999999998,118.2,38.711999999999996,24.671153257877027
