weather,occupancy_count,baseline,n_layouts,baseline_mean_W,optimized_mean_W,mean_absolute_saving_W,min_absolute_saving_W,max_absolute_saving_W,relative_saving_pct_from_means,ga_lower_count,equal_count,ga_higher_count
Clear,1,Zonal PIR ceiling-only,5,34.31999999999999,3.0,31.319999999999993,0.0,73.19999999999999,91.25874125874127,3,2,0
Clear,2,Zonal PIR ceiling-only,5,36.959999999999994,4.8,32.16,-3.0,71.69999999999999,87.01298701298703,3,1,1
Clear,3,Zonal PIR ceiling-only,5,42.239999999999995,9.0,33.239999999999995,-3.0,65.69999999999999,78.69318181818181,4,0,1
Clear,4,Zonal PIR ceiling-only,5,71.28,9.6,61.68000000000001,33.6,92.1,86.53198653198653,5,0,0
Clear,5,Zonal PIR ceiling-only,5,81.84,14.7,67.14,45.3,81.9,82.03812316715542,5,0,0
Clear,6,Zonal PIR ceiling-only,5,71.28000000000002,12.0,59.28000000000001,32.1,78.9,83.16498316498317,5,0,0
Clear,7,Zonal PIR ceiling-only,5,58.08,12.0,46.08,29.1,68.69999999999999,79.33884297520662,5,0,0
Clear,8,Zonal PIR ceiling-only,5,84.48,17.7,66.78,40.8,78.9,79.04829545454545,5,0,0
Clear,9,Zonal PIR ceiling-only,5,87.11999999999999,22.5,64.62,39.3,77.4,74.17355371900828,5,0,0
Clear,10,Zonal PIR ceiling-only,5,81.84,20.7,61.14000000000001,26.1,86.1,74.7067448680352,5,0,0
Clear,11,Zonal PIR ceiling-only,5,89.75999999999999,23.4,66.35999999999999,59.69999999999999,74.4,73.93048128342245,5,0,0
Clear,12,Zonal PIR ceiling-only,5,95.03999999999999,24.0,71.04,53.400000000000006,84.6,74.74747474747477,5,0,0
Clear,13,Zonal PIR ceiling-only,5,100.32000000000001,27.6,72.72,63.900000000000006,80.1,72.48803827751196,5,0,0
Clear,14,Zonal PIR ceiling-only,5,102.96,29.4,73.55999999999999,66.9,80.1,71.44522144522143,5,0,0
Clear,15,Zonal PIR ceiling-only,5,95.04,31.2,63.839999999999996,50.69999999999999,77.1,67.17171717171716,5,0,0
Night,1,Zonal PIR ceiling-only,5,171.6,110.1,61.5,61.5,61.5,35.83916083916084,5,0,0
Night,2,Zonal PIR ceiling-only,5,253.43999999999997,151.56,101.87999999999998,57.0,149.39999999999998,40.19886363636363,5,0,0
Night,3,Zonal PIR ceiling-only,5,293.03999999999996,171.9,121.13999999999996,55.5,144.89999999999998,41.33906633906633,5,0,0
Night,4,Zonal PIR ceiling-only,5,430.32,204.6,225.71999999999997,150.6,284.09999999999997,52.45398773006135,5,0,0
Night,5,Zonal PIR ceiling-only,5,454.08000000000004,229.08,225.0,143.1,264.9,49.5507399577167,5,0,0
Night,6,Zonal PIR ceiling-only,5,459.36,228.9,230.45999999999998,140.1,258.9,50.16980146290491,5,0,0
Night,7,Zonal PIR ceiling-only,5,504.23999999999995,238.14000000000001,266.09999999999997,254.39999999999998,279.29999999999995,52.772489290813894,5,0,0
Night,8,Zonal PIR ceiling-only,5,514.8,249.71999999999997,265.0799999999999,258.59999999999997,271.79999999999995,51.491841491841484,5,0,0
Night,9,Zonal PIR ceiling-only,5,493.68,254.76,238.92,230.7,255.59999999999997,48.39572192513369,5,0,0
