weather,occupancy_count,layout_index,seat_list,active_zones,baseline,baseline_power_W,optimized_power_W,absolute_saving_W,outcome
Clear,1,1,0,1,Zonal PIR ceiling-only,79.19999999999999,6.0,73.19999999999999,GA lower
Clear,1,2,3,1,Zonal PIR ceiling-only,79.19999999999999,7.5,71.69999999999999,GA lower
Clear,1,3,8,1,Zonal PIR ceiling-only,13.2,1.5,11.7,GA lower
Clear,1,4,20,1,Zonal PIR ceiling-only,0.0,0.0,0.0,Equal
Clear,1,5,23,1,Zonal PIR ceiling-only,0.0,0.0,0.0,Equal
Clear,2,1,2;17,2,Zonal PIR ceiling-only,79.19999999999999,10.5,68.69999999999999,GA lower
Clear,2,2,3;23,2,Zonal PIR ceiling-only,79.19999999999999,7.5,71.69999999999999,GA lower
Clear,2,3,4;7,1,Zonal PIR ceiling-only,26.4,3.0,23.4,GA lower
Clear,2,4,13;18,2,Zonal PIR ceiling-only,0.0,3.0,-3.0,GA higher
Clear,2,5,21;23,1,Zonal PIR ceiling-only,0.0,0.0,0.0,Equal
Clear,3,1,0;1;2,1,Zonal PIR ceiling-only,79.19999999999999,19.5,59.69999999999999,GA lower
Clear,3,2,0;17;19,2,Zonal PIR ceiling-only,79.19999999999999,13.5,65.69999999999999,GA lower
Clear,3,3,6;7;16,2,Zonal PIR ceiling-only,26.4,7.5,18.9,GA lower
Clear,3,4,6;20;22,2,Zonal PIR ceiling-only,26.4,1.5,24.9,GA lower
Clear,3,5,13;17;22,2,Zonal PIR ceiling-only,0.0,3.0,-3.0,GA higher
Clear,4,1,0;5;13;22,3,Zonal PIR ceiling-only,79.19999999999999,7.5,71.69999999999999,GA lower
Clear,4,2,2;3;10;12,2,Zonal PIR ceiling-only,92.4,16.5,75.9,GA lower
Clear,4,3,3;8;11;19,3,Zonal PIR ceiling-only,105.6,13.5,92.1,GA lower
Clear,4,4,4;6;8;10,2,Zonal PIR ceiling-only,39.6,4.5,35.1,GA lower
Clear,4,5,7;8;14;18,3,Zonal PIR ceiling-only,39.6,6.0,33.6,GA lower
Clear,5,1,1;2;7;9;21,3,Zonal PIR ceiling-only,92.4,19.5,72.9,GA lower
Clear,5,2,1;3;14;17;23,3,Zonal PIR ceiling-only,79.19999999999999,16.5,62.69999999999999,GA lower
Clear,5,3,2;3;7;8;12,2,Zonal PIR ceiling-only,92.4,19.5,72.9,GA lower
Clear,5,4,2;9;12;17;20,3,Zonal PIR ceiling-only,92.4,10.5,81.9,GA lower
Clear,5,5,6;11;18;19;22,3,Zonal PIR ceiling-only,52.8,7.5,45.3,GA lower
Clear,6,1,1;2;7;8;10;12,2,Zonal PIR ceiling-only,92.4,21.0,71.4,GA lower
Clear,6,2,1;7;10;17;20;22,3,Zonal PIR ceiling-only,92.4,13.5,78.9,GA lower
Clear,6,3,2;5;6;8;20;21,3,Zonal PIR ceiling-only,92.4,13.5,78.9,GA lower
Clear,6,4,5;7;8;12;14;17,3,Zonal PIR ceiling-only,39.6,7.5,32.1,GA lower
Clear,6,5,5;11;14;19;20;21,3,Zonal PIR ceiling-only,39.6,4.5,35.1,GA lower
Clear,7,1,1;2;3;4;15;16;23,3,Zonal PIR ceiling-only,79.19999999999999,24.0,55.19999999999999,GA lower
Clear,7,2,2;5;12;13;19;20;21,3,Zonal PIR ceiling-only,79.19999999999999,10.5,68.69999999999999,GA lower
Clear,7,3,4;7;8;17;19;22;23,3,Zonal PIR ceiling-only,39.6,10.5,29.1,GA lower
Clear,7,4,6;10;12;14;15;18;23,3,Zonal PIR ceiling-only,39.6,6.0,33.6,GA lower
Clear,7,5,7;11;12;13;18;22;23,3,Zonal PIR ceiling-only,52.8,9.0,43.8,GA lower
Clear,8,1,0;3;5;8;14;16;19;23,3,Zonal PIR ceiling-only,92.4,24.0,68.4,GA lower
Clear,8,2,0;3;8;12;14;16;17;19,3,Zonal PIR ceiling-only,92.4,24.0,68.4,GA lower
Clear,8,3,0;5;10;15;16;17;19;20,3,Zonal PIR ceiling-only,92.4,15.0,77.4,GA lower
Clear,8,4,3;8;9;10;13;17;20;21,3,Zonal PIR ceiling-only,92.4,13.5,78.9,GA lower
Clear,8,5,4;6;9;11;16;19;20;23,3,Zonal PIR ceiling-only,52.8,12.0,40.8,GA lower
Clear,9,1,0;1;2;7;10;18;20;21;22,3,Zonal PIR ceiling-only,92.4,24.0,68.4,GA lower
Clear,9,2,0;2;3;7;10;16;17;21;22,3,Zonal PIR ceiling-only,92.4,28.5,63.900000000000006,GA lower
Clear,9,3,1;2;3;7;9;11;15;17;20,3,Zonal PIR ceiling-only,105.6,31.5,74.1,GA lower
Clear,9,4,2;4;5;8;13;15;17;21;22,3,Zonal PIR ceiling-only,92.4,15.0,77.4,GA lower
Clear,9,5,6;9;11;12;14;16;17;22;23,3,Zonal PIR ceiling-only,52.8,13.5,39.3,GA lower
Clear,10,1,0;1;2;3;7;14;16;17;21;23,3,Zonal PIR ceiling-only,79.19999999999999,34.5,44.69999999999999,GA lower
Clear,10,2,1;3;10;12;15;19;20;21;22;23,3,Zonal PIR ceiling-only,92.4,19.5,72.9,GA lower
Clear,10,3,3;4;5;6;8;13;14;17;20;23,3,Zonal PIR ceiling-only,92.4,16.5,75.9,GA lower
Clear,10,4,3;6;7;11;13;15;16;18;20;22,3,Zonal PIR ceiling-only,105.6,19.5,86.1,GA lower
Clear,10,5,4;6;7;8;12;15;16;17;20;22,3,Zonal PIR ceiling-only,39.6,13.5,26.1,GA lower
Clear,11,1,0;1;4;5;6;12;13;15;19;20;22,3,Zonal PIR ceiling-only,79.19999999999999,19.5,59.69999999999999,GA lower
Clear,11,2,0;1;5;8;10;15;16;17;19;21;23,3,Zonal PIR ceiling-only,92.4,25.5,66.9,GA lower
Clear,11,3,0;4;6;9;13;14;15;16;17;20;22,3,Zonal PIR ceiling-only,92.4,18.0,74.4,GA lower
Clear,11,4,1;2;3;8;10;13;16;17;18;19;22,3,Zonal PIR ceiling-only,92.4,31.5,60.900000000000006,GA lower
