weather,strategy,occupancy_count,layout_count,mean_power_W,min_power_W,max_power_W,sd_power_W,range_power_W
Clear,Zonal PIR ceiling-only,1,5,34.320000,0.000000,79.200000,41.322536,79.200000
Clear,Zonal PIR ceiling-only,2,5,36.960000,0.000000,79.200000,40.037582,79.200000
Clear,Zonal PIR ceiling-only,3,5,42.240000,0.000000,79.200000,35.419317,79.200000
Clear,Zonal PIR ceiling-only,4,5,71.280000,39.600000,105.600000,30.388682,66.000000
Clear,Zonal PIR ceiling-only,5,5,81.840000,52.800000,92.400000,17.210694,39.600000
Clear,Zonal PIR ceiling-only,6,5,71.280000,39.600000,92.400000,28.919751,52.800000
Clear,Zonal PIR ceiling-only,7,5,58.080000,39.600000,79.200000,20.018791,39.600000
Clear,Zonal PIR ceiling-only,8,5,84.480000,52.800000,92.400000,17.709658,39.600000
Clear,Zonal PIR ceiling-only,9,5,87.120000,52.800000,105.600000,20.018791,52.800000
Clear,Zonal PIR ceiling-only,10,5,81.840000,39.600000,105.600000,25.390707,66.000000
Clear,Zonal PIR ceiling-only,11,5,89.760000,79.200000,92.400000,5.903219,13.200000
Clear,Zonal PIR ceiling-only,12,5,95.040000,92.400000,105.600000,5.903219,13.200000
Clear,Zonal PIR ceiling-only,13,5,100.320000,92.400000,105.600000,7.229938,13.200000
Clear,Zonal PIR ceiling-only,14,5,102.960000,92.400000,105.600000,5.903219,13.200000
Clear,Zonal PIR ceiling-only,15,5,95.040000,79.200000,105.600000,11.043912,26.400000
Clear,Rule-based hybrid,1,5,2.700000,0.000000,6.000000,3.074085,6.000000
Clear,Rule-based hybrid,2,5,4.200000,0.000000,9.000000,3.420526,9.000000
Clear,Rule-based hybrid,3,5,8.100000,1.500000,18.000000,6.841053,16.500000
Clear,Rule-based hybrid,4,5,9.000000,6.000000,13.500000,3.517812,7.500000
Clear,Rule-based hybrid,5,5,12.900000,9.000000,15.000000,2.924038,6.000000
Clear,Rule-based hybrid,6,5,10.500000,6.000000,16.500000,4.107919,10.500000
Clear,Rule-based hybrid,7,5,11.100000,6.000000,22.500000,6.758328,16.500000
Clear,Rule-based hybrid,8,5,17.400000,12.000000,22.500000,4.574385,10.500000
Clear,Rule-based hybrid,9,5,20.100000,10.500000,27.000000,7.544866,16.500000
Clear,Rule-based hybrid,10,5,18.300000,12.000000,31.500000,7.604275,19.500000
Clear,Rule-based hybrid,11,5,23.400000,16.500000,33.000000,6.328507,16.500000
Clear,Rule-based hybrid,12,5,24.000000,19.500000,37.500000,7.648529,18.000000
Clear,Rule-based hybrid,13,5,26.400000,21.000000,31.500000,4.321458,10.500000
Clear,Rule-based hybrid,14,5,28.200000,24.000000,31.500000,3.420526,7.500000
